Timestamp, Food Quality, Service Quality, Affordability, Hygiene, Food Options, Special Dietary, Satisfied
11/1/2023 13:13:30,,5,6,6,5,4,5,4
11/1/2023 13:16:51,,4,6,5,6,4,4,5
11/1/2023 13:20:54,,4,5,6,5,3,5,4
11/1/2023 13:23:35,,3,3,4,4,2,4,3
11/1/2023 13:25:20,,5,5,5,5,4,5,4
11/1/2023 13:38:17,,5,6,3,6,5,3,5
11/1/2023 14:14:59,,5,6,5,6,5,5,6
11/1/2023 14:20:24,,4,5,6,4,4,4,4
11/1/2023 14:32:17,,5,4,6,5,5,2,5
11/1/2023 14:48:22,,4,4,5,2,2,1,3
11/1/2023 15:32:52,,5,5,6,5,5,3,5
11/1/2023 15:48:53,,4,5,5,4,4,4,5
11/1/2023 15:50:48,,5,5,5,6,4,6,5
11/1/2023 15:52:45,,4,5,4,5,5,3,5
11/1/2023 16:14:26,,5,5,6,4,5,4,5
11/1/2023 17:33:57,,5,5,4,5,4,4,5
11/1/2023 17:36:18,,6,4,6,5,5,6,6
11/1/2023 19:00:48,,4,4,4,4,4,4,4
11/1/2023 19:12:53,,4,3,5,6,6,4,3
11/1/2023 19:48:40,,2,4,3,5,2,2,2
11/1/2023 20:04:31,,3,4,4,4,4,3,4
11/1/2023 21:16:39,,5,5,5,5,5,5,5
11/1/2023 21:33:44,,4,4,5,3,5,4,4
11/1/2023 21:34:48,,2,5,3,5,4,4,4
11/1/2023 21:35:49,,4,5,5,4,3,5,5
11/1/2023 21:41:47,,3,5,6,5,6,5,3
11/1/2023 21:59:13,,4,5,3,3,4,3,3
11/1/2023 22:15:24,,3,3,3,5,2,3,3
11/1/2023 22:17:23,,4,5,4,5,3,3,4
11/1/2023 22:19:00,,4,4,5,3,5,4,4
11/1/2023 22:34:46,,6,6,6,6,6,6,6
11/1/2023 22:44:19,,4,5,6,5,5,4,6
11/1/2023 23:35:47,,2,4,4,4,3,3,4
11/1/2023 23:40:44,,4,5,6,6,5,5,5
11/2/2023 8:24:50,,3,5,6,4,3,4,5
11/2/2023 9:08:19,,6,6,6,5,6,6,6
11/2/2023 9:15:59,,4,5,5,5,3,4,5
11/2/2023 10:07:22,,6,6,6,6,6,6,6
11/2/2023 11:06:21,,5,5,5,5,5,5,5
11/2/2023 15:42:05,,5,5,5,5,6,4,5
11/3/2023 8:16:45,,3,4,4,4,4,3,3
11/3/2023 9:14:54,,3,4,3,5,3,4,3
11/3/2023 9:34:37,,3,3,5,5,4,4,3
11/3/2023 11:37:12,,3,4,4,5,5,4,3
11/3/2023 14:30:33,,4,4,5,5,5,3,4
11/3/2023 21:32:33,,3,3,4,3,3,3,3
11/4/2023 11:03:21,,4,4,4,5,5,4,4
11/5/2023 13:37:29,,5,4,6,5,5,5,5
11/7/2023 10:37:52,,2,2,5,5,1,1,2
11/7/2023 10:37:56,,3,2,5,5,2,2,2
11/7/2023 10:38:34,,2,3,4,4,1,1,2
11/7/2023 10:39:10,,2,4,5,4,1,1,2
11/7/2023 10:39:32,,1,4,4,4,1,1,1
11/7/2023 10:40:33,,2,2,4,4,1,1,2
11/7/2023 10:41:11,,2,1,4,4,1,2,1
11/7/2023 10:41:34,,1,3,3,4,2,1,1
11/7/2023 10:42:04,,1,1,5,5,2,1,1
11/7/2023 10:42:13,,2,2,3,3,2,1,2
11/7/2023 14:32:59,,1,2,4,3,1,2,2
11/7/2023 14:33:17,,2,1,3,1,2,1,1
11/7/2023 14:33:40,,2,3,4,3,1,1,2
11/7/2023 14:34:03,,3,1,3,3,2,1,2
11/7/2023 14:36:21,,1,2,3,3,2,1,1
11/7/2023 14:36:39,,1,1,4,2,1,1,2
11/7/2023 14:37:10,,2,1,3,1,2,1,2
11/7/2023 14:37:25,,1,1,2,2,1,1,1
11/7/2023 14:37:45,,2,2,3,2,1,1,2
11/7/2023 14:38:30,,2,1,2,1,1,1,1
